dataset_id,source_class,source_files,summary_lines,accepted_rows,excluded_malformed_rows
d01_c1_t0_l1_repeatability_20260406T095034Z,already-public bundle,1,1413,1413,0
d01_c1_t0_l1_repeatability_20260406T113903Z,already-public bundle,1,1407,1407,0
d02_c1_t0_l0_honest_quiet_candidate_20260406T122440Z,already-public bundle,1,809,809,0
d03_c2_t0_l1_full_support_capture_20260406T125404Z,already-public bundle,1,1501,1501,0
d04_c2_t0_l2_support_under_load_20260420T110543Z,already-public bundle,1,1483,1483,0
d04_c2_t0_l2_support_under_load_20260423T103612Z,canonical private source,1,1578,1578,0
d05_c3_t1_l1_raw_fusion_upper_bound_20260427T102654Z,already-public bundle,2,1562,1498,64
d05_c3_t1_l1_raw_fusion_upper_bound_20260427T124558Z,canonical private source,2,64010,64010,0
d06_c3_t1_l1_local_features_vs_raw_central_20260427T133103Z,canonical private source,2,17926,17926,0
d07_c3_t2_l1_heterogeneity_subset_value_20260501T114221Z,already-public bundle,3,34793,34793,0
d08_c4_t1_l1_budget_aware_controller_20260501T130657Z,already-public bundle,2,15847,15847,0
d09_c4_t2_l2_budget_aware_controller_high_load_20260504T102505Z,already-public bundle,3,38130,38130,0
d10_c5_t2_l1_stability_maintenance_20260504T115457Z,already-public bundle,3,130869,130869,0
d11_c6_t2_l1_supportive_search_comparison_20260504T134316Z,canonical private source,3,31435,31435,0
w01_e01_c1_t0_l1_baseline_20260330T101537Z,already-public bundle,1,2406,2406,0
w03_e05_c2_t0_l1_low_density_support_20260330T130337Z,already-public bundle,1,2286,2286,0
